프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
자판기 프로그램 구축,"예상 금액10,000,000원","10,000,000원",45일,,,[],서울특별시 강남구
인력 평가/보상 SaaS 기획,"예상 금액6,000,000원","6,000,000원",50일,,,[],서울특별시 강남구
전문가 중재 기반의 헬스케어 EAP 서비스 PO,"월 금액6,000,000","6,000,000",90일,PO (프로덕트 오너),시니어,[],서울특별시 강남구
태국인에게 한국어를 교육하는 강의 앱 구축,"예상 금액40,000,000원","40,000,000원",90일,,,"['Android', 'iOS']",경기도 수원시 영통구
Golang 기반 스트리밍 서버 구축,"예상 금액15,000,000원","15,000,000원",45일,,,['Go'],세종특별자치시 세종시
디지털 사이니지 솔루션 및 셋톱박스용 플레이어 App 구축,"예상 금액50,000,000원","50,000,000원",90일,,,"['Android', 'iOS']",경기도 안양시 동안구
Linux 기반 CCTV 영상 용량 리사이징 기술 개발,"예상 금액30,000,000원","30,000,000원",90일,,,['Linux'],서울특별시 금천구
암호화폐 거래 수수료 환급 플랫폼 구축,"예상 금액30,000,000원","30,000,000원",45일,,,[],서울특별시 강남구
이더캣 방식의 슬레이브 펌웨어 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['C++', 'C']",서울특별시 금천구
허브 조합 추천 및 판매 반응형 웹 구축,"예상 금액45,000,000원","45,000,000원",90일,,,[],서울특별시 강남구
데이터 취합/통계 업무 시스템 구축,"예상 금액14,000,000원","14,000,000원",60일,,,[],서울특별시 영등포구
자체 웹 쇼핑몰 구축,"예상 금액30,000,000원","30,000,000원",150일,,,[],서울특별시 강남구
오픈소스 기반 이미지 내 객체 인식 및 판별 AI 모델 개발,"예상 금액7,000,000원","7,000,000원",50일,,,[],부산광역시 남구
"음향기기 블루투스 연결 및 EQ 설정 Android, iOS 앱 구축","예상 금액60,000,000원","60,000,000원",120일,,,['Bluetooth'],경기도 하남시
OPC Client 개발,"예상 금액1,000,000원","1,000,000원",5일,,,['opc'],서울특별시 강남구
PC/MO 매칭 플랫폼 및 공급자/관리자 CMS 구축,"예상 금액150,000,000원","150,000,000원",180일,,,[],서울특별시 광진구
NFC 오픈소스 모듈 활용 전자여권 인식 Android/iOS SDK 개발,"예상 금액25,000,000원","25,000,000원",90일,,,"['Android', 'iOS']",경기도 성남시 분당구
카페24 기반 자사몰 반응형 웹 구축,"예상 금액8,000,000원","8,000,000원",30일,,,['Cafe24'],강원도 원주시
리눅스용 DLP(내부정보유출방지) 모듈 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['Linux'],서울특별시 금천구
맥OS용 DLP(내부정보유출방지) 모듈 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['macOS'],서울특별시 금천구
네이버 검색광고 관련 부정클릭방지/자동입찰 솔루션 구축,"예상 금액50,000,000원","50,000,000원",150일,,,[],전라북도 전주시 완산구
워드프레스 기반 제품 상세페이지 퍼블리싱(주 2일 재택),"월 금액4,500,000","4,500,000",30일,퍼블리셔,미드 레벨,"['WordPress · 5년 이하', 'HTML · 5년 이하', 'PHP · 5년 이하']",서울특별시 금천구
유니티를 이용한 화면 UI 수정 개발,"예상 금액3,000,000원","3,000,000원",15일,,,['Unity'],경기도 화성시
JAVA 기반 대기업 웹 사이트 개발 운영,"월 금액6,000,000","6,000,000",120일,백엔드 개발자,미드 레벨,"['Java · 경력 무관', 'Spring Boot · 경력 무관']",서울특별시 구로구
경영지원 총무 특화 서비스 플랫폼 Frontend 개발,"월 금액1,500,000","1,500,000",3일,프론트엔드 개발자,시니어,['React · 경력 무관'],서울특별시 마포구
중개 플랫폼 관리자 웹 디자인 및 개발,"예상 금액2,500,000원","2,500,000원",14일,,,[],대구광역시 달서구
RF 필터 회로 설계 및 PCB 샘플 제작,"예상 금액7,000,000원","7,000,000원",25일,,,[],서울특별시 관악구
중고 가구가전 플랫폼 추가 개발 및 수정,"예상 금액4,000,000원","4,000,000원",20일,,,"['Firebase', 'JavaScript', 'Vue.js']",경기도 수원시 권선구
"마케팅 회사 소개 사이트 디자인, 개발","예상 금액4,000,000원","4,000,000원",14일,,,['Figma'],서울특별시 금천구
코스메틱 브랜드 네이밍 및 브랜드 스토리 개발,"예상 금액250,000원","250,000원",14일,,,[],서울특별시 마포구
네일 가상 착용 시뮬레이터 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['Django', 'Python', 'React']",서울특별시 강남구
반응형 웹 UI/UX 기획 서포트 및 디자인,"월 금액4,000,000","4,000,000",30일,UI/UX 디자이너,주니어,"['Figma · 7년 이하', 'Photoshop · 7년 이하', 'Illustrator · 7년 이하']",서울특별시 영등포구
데이팅 APP UI/UX 기획,"월 금액5,000,000","5,000,000",45일,UI/UX 기획자,미드 레벨,[],서울특별시 강남구
피트니스 브랜드 웹 반응형 마이크로 사이트 수정 및 신규 디자인 및 개발,"예상 금액10,000,000원","10,000,000원",30일,,,"['Kotlin', 'React', 'Spring Boot', 'TailwindCSS', 'TypeScript']",서울특별시 강서구
해외 전용 소개 홈페이지 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],경기도 성남시 중원구
상담플랫폼 admin 내 관리 도구 및 상담 화면 개발,"월 금액8,000,000","8,000,000",180일,풀스택 개발자,미드 레벨 외 1개,"['JavaScript · 경력 무관', 'React · 경력 무관']",경기도 성남시 분당구
Python 기반 소수 개수 구하는 프로그램 설계 및 개발,"예상 금액250,000원","250,000원",1일,,,[],경상남도 창녕군
Linux/PHP 기반 시스템 오류 해결 및 유지보수,"월 금액6,500,000","6,500,000",90일,풀스택 개발자,미드 레벨,"['PHP · 경력 무관', 'Linux · 경력 무관']",서울특별시 강북구
안드로이드/iOS 앱 개발( 상주 필수 ),"예상 금액150,000,000원","150,000,000원",120일,,,[],서울특별시 서초구
프레이머 기반 신규법인의 에이전시 소개 웹 개발,"예상 금액1,500,000원","1,500,000원",7일,,,"['Figma', 'framer']",서울특별시 마포구
웹 기반 관리 시스템 서비스 기획( 주 2회 재택 가능 ),"월 금액5,000,000","5,000,000",90일,서비스 기획자,미드 레벨,['PowerPoint · 경력 무관'],서울특별시 강남구
전자금융기반시설 웹 취약점 진단,"예상 금액2,000,000원","2,000,000원",19일,,,[],서울특별시 강남구
사무업무 보조 RPA 제작(상주 필수),"예상 금액1,200,000원","1,200,000원",3일,,,"['Python', 'selenium', 'Tkinter']",서울특별시 구로구
산업현장 안전관리 앱 구축,"예상 금액30,000,000원","30,000,000원",90일,,,"['Android', 'iOS', 'React', 'Spring Boot']",경기도 용인시 기흥구
배터리화재 자동 진압 과정 동영상 제작,"예상 금액3,000,000원","3,000,000원",30일,,,[],경기도 안양시 동안구
Swift 기반 앱 전반적인 개선 개발,"예상 금액15,000,000원","15,000,000원",90일,,,"['Swift', 'Xcode']",서울특별시 강남구
동산 담보 온라인 대출 서비스 구축,"예상 금액60,000,000원","60,000,000원",150일,,,[],서울특별시 강남구
교육용 로봇 제어를 위한 블록 코딩 앱 개발,"예상 금액20,000,000원","20,000,000원",90일,,,"['Android', 'Arduino', 'iOS', 'Kotlin']",울산광역시 남구
신규 스크린 골프 서비스 Unity3D 개발 (상주 필수),"월 금액6,000,000","6,000,000",120일,풀스택 개발자,미드 레벨,"['C# · 10년 이하', 'unity3d · 경력 무관']",서울특별시 금천구
신규 스크린 골프 프로그램 UI/UX 디자인 (상주 필수),"월 금액5,000,000","5,000,000",120일,UI/UX 디자이너,미드 레벨,[],서울특별시 금천구
신규 스크린 골프 코스 제작 및 기타 프랍 제작 (상주 필수),"월 금액5,000,000","5,000,000",120일,3D 디자이너,미드 레벨,[],서울특별시 금천구
웹 기반 내부 콘텐츠 관리 시스템 구축,"예상 금액40,000,000원","40,000,000원",120일,,,"['Apache', 'Java', 'Linux', 'MariaDB', 'MSSQL', 'Nginx', 'Node.js', 'Spring Boot', 'Tomcat', 'Vue.js']",서울특별시 구로구
PG 연동 및 사용자단 결제 정책 적용 개발,"예상 금액1,500,000원","1,500,000원",10일,,,"['CSS', 'HTML', 'JavaScript', 'Node.js']",서울특별시 강남구
인력 알선 매칭 서비스 기획/개발,"예상 금액50,000,000원","50,000,000원",120일,,,"['Android', 'iOS']",서울특별시 구로구
AR 실내 네비게이션 APP 개발,"예상 금액15,000,000원","15,000,000원",60일,,,['Flutter'],서울특별시 강남구
임베디드 개발 환경 세팅(대면 미팅),"예상 금액200,000원","200,000원",1일,,,"['Arduino', 'JLink', 'stlink', 'STM32']",경기도 용인시 수지구
RFID 기반 입출 및 재고관리 시스템 구축,"예상 금액30,000,000원","30,000,000원",90일,,,[],서울특별시 강남구
vue/node 기반 웹서비스 채팅/댓글 입력창 관련 오류 수정,"예상 금액1,500,000원","1,500,000원",5일,,,"['Express', 'iOS', 'Node.js', 'Vue.js']",경기도 수원시 영통구
운영 중인 워드프레스 우커머스 쇼핑몰 통합 구축,"예상 금액10,000,000원","10,000,000원",60일,,,"['WordPress', '워드프레스', '워드프레스쇼핑몰']",서울특별시 마포구
산업은행 글로벌 표준 뱅킹시스템 재구축 간 분석/설계/개발,"월 금액9,200,000","9,200,000",840일,풀스택 개발자,테크 리드,"['Java · 경력 무관', 'JSP · 경력 무관', 'Oracle · 경력 무관', 'Eclipse · 경력 무관']",서울특별시 영등포구
환경 시스템 웹 Frontend 및 Backend 개발,"월 금액6,000,000","6,000,000",120일,풀스택 개발자,미드 레벨,"['Java · 경력 무관', 'Spring Boot · 경력 무관', 'React · 경력 무관']",서울특별시 영등포구
가상화폐 자동 매매 봇 개발,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 종로구
WordPress 기반 웹 오류 수정 및 추가 개발,"예상 금액2,000,000원","2,000,000원",10일,,,"['GoDaddy', 'WordPress']",울산광역시 남구
React 기반 교육용 플랫폼 웹 및 앱 개발,"월 금액8,700,000","8,700,000",60일,풀스택 개발자,테크 리드,"['React · 경력 무관', 'JavaScript · 경력 무관', 'Node.js · 경력 무관', 'TypeScript · 경력 무관']",경기도 과천시
AWS 배포 오류 해결,"예상 금액1,000,000원","1,000,000원",4일,,,"['AWS CloudWatch', 'AWS CodePipeline', 'AWS EC2', 'aws ecs', 'AWS Elasticbeanstalk', 'aws lambda']",서울특별시 강남구
상용구 생성 타이핑 윈도우 프로그램,"예상 금액1,000,000원","1,000,000원",30일,,,[],경기도 부천시 원미구
FPGA 기반 RoCE V2 이더넷 인터페이스 구축,"예상 금액15,000,000원","15,000,000원",90일,,,[],대전광역시 유성구
회사 소개 브로슈어 디자인,"예상 금액1,000,000원","1,000,000원",7일,,,[],서울특별시 중구
상품권 구입/매입 사이트 구축,"예상 금액10,000,000원","10,000,000원",50일,,,[],서울특별시 중랑구
렌딩 페이지 및 문의하기 페이지 디자인,"예상 금액1,000,000원","1,000,000원",7일,,,['Figma'],서울특별시 강남구
리워드 iOS 앱 개발,"예상 금액20,000,000원","20,000,000원",75일,,,"['iOS', 'Swift']",인천광역시 미추홀구
세일즈 CRM SaaS 백엔드 개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 강남구
건강관리 서비스 웹/앱 구축,"예상 금액25,000,000원","25,000,000원",60일,,,[],서울특별시 서초구
PHP 라라벨(Laravel) 웹 서비스 개발,"월 금액6,000,000","6,000,000",90일,프론트엔드 개발자,미드 레벨,"['PHP · 3년 이상', 'Laravel · 2년 이상']",서울특별시 강남구
기존 회사 소개 반응형 웹 리뉴얼 구축,"예상 금액7,000,000원","7,000,000원",30일,,,"['CSS', 'Java', 'JavaScript', 'Tomcat']",부산광역시 해운대구
공기 정화기 소형화를 위한 테스트 개발,"예상 금액2,000,000원","2,000,000원",10일,,,['C'],대전광역시 대덕구
스마트홈 챗봇 서비스 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],서울특별시 강남구
동네 커플친구 만들기 매칭 어플 개발,"예상 금액15,000,000원","15,000,000원",45일,,,"['Android', 'iOS']",서울특별시 강남구
육아 정보 검색 및 챗봇 APP 구축,"예상 금액30,000,000원","30,000,000원",90일,,,[],서울특별시 송파구
경영지원 총무 특화 서비스 플랫폼 Frontend 개발,"월 금액800,000","800,000",2일,풀스택 개발자,미드 레벨,['React · 경력 무관'],서울특별시 마포구
배치 프로그램 및  DB 입력/수정 인터페이스 개발,"예상 금액5,000,000원","5,000,000원",21일,,,['Python'],인천광역시 연수구
Cafe24 혹은 아임웹 기반 회사소개/제품판매 홈페이지 개발,"예상 금액3,000,000원","3,000,000원",20일,,,[],경기도 하남시
웹 기반 정보 제공 플랫폼 기획(주 2회 재택 근무),"월 금액3,000,000","3,000,000",30일,UI/UX 기획자,미드 레벨,"['Figma · 2년 이상', 'Notion · 경력 무관']",서울특별시 광진구
공연 정보 게시를 위한 웹 구축,"예상 금액7,000,000원","7,000,000원",7일,,,[],서울특별시 종로구
학원 운영 솔루션을 웹 기반 SaaS 기획,"예상 금액8,000,000원","8,000,000원",50일,,,[],부산광역시 금정구
보험 유지율관리 업무 프로그램 구축,"예상 금액10,000,000원","10,000,000원",45일,,,"['MySQL', 'PHP']",서울특별시 성동구
운영중인 앱서비스의 고도화 마무리 개발,"예상 금액500,000원","500,000원",2일,,,"['Android', 'AWS', 'iOS', 'Java', 'JavaScript', 'MySQL', 'Node.js', 'React Native', 'Vue.js']",서울특별시 영등포구
AI 기반 체성분 관리 앱 개발,"예상 금액20,000,000원","20,000,000원",180일,,,"['Android', 'iOS']",서울특별시 강남구
네이버 연동 오류 수정 및 메타 전환 api 중복 픽셀 제거,"예상 금액100,000원","100,000원",2일,,,[],서울특별시 광진구
[QA엔지니어] Web/App 서비스(주 30시간 근무),"월 금액2,300,000","2,300,000",90일,QA 엔지니어,주니어,"['Jira/Confluence · 1년 이상', 'Excel · 1년 이상']",서울특별시 서초구
"랜딩페이지 이미지 디자인(웹 버전, 앱 버전)","예상 금액300,000원","300,000원",7일,,,['Figma'],서울특별시 마포구
학력 평가 서비스 Web UI/UX 디자인,"월 금액4,500,000","4,500,000",30일,UI/UX 디자이너,미드 레벨,['Figma · 경력 무관'],서울특별시 서초구
토스페이먼츠 PG로 변경 및 간편결제 추가,"예상 금액2,000,000원","2,000,000원",15일,,,"['Flutter', 'PHP']",서울특별시 성동구
게시판 형태의 중장비거래 웹 및 Android 앱 구축,"예상 금액10,000,000원","10,000,000원",30일,,,[],서울특별시 동대문구
방사선 차폐 해석 웹 서비스 개발(재택 근무),"월 금액5,500,000","5,500,000",60일,풀스택 개발자,미드 레벨,"['Python · 경력 무관', 'JavaScript · 경력 무관']",
집수리 중개플랫폼 반응형 웹 구축,"예상 금액17,000,000원","17,000,000원",60일,,,[],서울특별시 서대문구
분석환경 및 검색엔진의 데이터 엔지니어 구인,"월 금액8,000,000","8,000,000",180일,데이터 엔지니어,시니어,[],서울특별시 중구
자료/파일 다운받는 웹/앱 기획 고도화,"예상 금액4,000,000원","4,000,000원",30일,,,"['Android', 'iOS']",서울특별시 성동구
숙박 예약 중개 서비스 반응형 웹 구축,"예상 금액50,000,000원","50,000,000원",100일,,,[],서울특별시 강남구
관제시스템 구축 간 시스템 인터페이스 연동(주 2일 재택 가능),"월 금액8,000,000","8,000,000",180일,백엔드 개발자,시니어,"['C++ · 8년 이상', 'Java · 8년 이상']",서울특별시 강서구
